Religionen der Föderation in unserer Galaxie Milchstraße;Babylonische Tierkreiszeichen;Erklärung warum Religionen zu Tierkreiszeichen passen;Thomasevangelium;Größenordnung;Transzendentalien, -alien, Strukturalien;andere Sternpolygonreligionen;Messias;Liebe, Ethik, spätere Religionen, Sternpolygone;Altgriechische Namen der Formen der Liebe;Intrinsische emotionale Intention für Sternpolygone;Was man erhält;Was man evolutionär erwirbt;was man braucht und evolutionär erwirbt;was man noch brauchen kann;gegen Sternpolygone sein;gleichförmige Polygone, nicht-Sternpolygone;pro andere Sternpolygone sein;Intention von Transzendenz;Bedeutung Vielfacher von Primzahlen;Licht;Analoge Größenordnungen;Monde als praktische Anwendung von Sonnen und ihrer Theorie;Vertreter höherer Konzepte, deren Religionsgründer noch nicht erschienen;Krankheit;Paradigmenkategorien oder Konzeptkategorien der Zählungen;gegen Sternpolygone sein;Kreativitäts- und Intelligenz-Typ;weitere Formen der Liebe und Wertzuschreibungen;Anführer-Arten;Berufe;Lösungen;Evolutionstheorie;Musik;Jura;Vollkommenheit des Geistes;Sternpolygon;gleichförmiges Polygon;nach innen: gut, lieb, böse, schlecht;nach innen: gut, lieb, böse, schlecht;Gegenteile weise, metaweise,optimal, kooperativ, ehrlich, abstrakt;Gegenteil weise,metaweise,optimal, kooperativ, ehrlich, abstrakt;Extrinsische (ggf. rationale) Motive für gleichförmige Polygone;Inkrementieren Universum;Mondtyp Sternpolygon;W-Fragen der Zählungen;Alpha/Beta-Mann (IMHO);evolutionäres Erlernen von Talenten;pro andere Sternpolygone sein;zeitlich, räumlich;Gegenteil von zeitlich, räumlich;dominiert: männlich oder weiblich;nach außen gut;nach außen böse;Erklärung Transzendentalie pro Strukturgröße;Informatiksicht;Mondtyp gleichförmiges Polygon;Angreifbarkeit Sternpolygon;Angreifbarkeit gleichförmiges Polygon;Glaube bzw. Erkenntnisweg zur Religion;Meinung zu anderen;Gegenteil der Meinung zu anderen;Selbstgerecht;nicht Selbstgerecht;Chef anderer Religionsgründer;model of hierarchical complexity by Michael Commons [bis zu 15 (16), danach ich JOM];Egoismus;Altruismus;geeignet für INCELs;Wirtschaftssystem;Wirtschaftssystem, inwiefern funktionstüchtig?;Erklärung;Religionsgründer: Archonten oder Propheten;irrationale algebraische Zahlen (Wurzelbildung) (Ausgangslage);diffuse abstrakt-philosophische Iteration;„model of hierarchical complexity“ im Bezug zu den Religionen;Universums Viererstruktur;Universums Viererstruktur Grundlage;Universums Viererstruktur Bedeutung;Wesentlich vs. Eigentlich;Ordnung vs. Unordnung
;;;;;;;;;;?;;;;;509;;501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;510;;502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;511;;503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;512;;504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;513;;505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;514;;506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;515;;507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;516;;508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;517;;509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;518;;510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;519;;511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;520;;512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;521;;513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;522;;514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;irgend ein Mond 23*23;;;;;523;;515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;524;;516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;525;;517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;526;;518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;527;;519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;528;;520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;529;;521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;530;;522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;531;;523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;532;;524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;533;;525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;534;;526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;535;;527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;536;;528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;537;;529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;538;;530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;539;;531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;540;;532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;541;;533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;542;;534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;543;;535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;544;;536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;545;;537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;546;;538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;547;;539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;548;;540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;549;;541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;550;;542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;551;;543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;552;;544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;553;;545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;554;;546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;555;;547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;556;;548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;557;;549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;558;;550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;559;;551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;560;;552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;561;;553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;562;;554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;563;;555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;564;;556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;565;;557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;566;;558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;567;;559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;568;;560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;569;;561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;irgend ein Mond 24*24;;;;;570;;562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;571;;563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;572;;564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;573;;565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;574;;566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;575;;567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;576;;568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;577;;569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;578;;570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;579;;571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;580;;572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;581;;573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;582;;574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;583;;575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;584;;576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;585;;577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;586;;578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;587;;579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;588;;580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;589;;581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;590;;582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;591;;583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;592;;584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;593;;585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;594;;586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;595;;587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;596;;588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;597;;589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;598;;590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;599;;591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;600;;592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;601;;593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;602;;594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;603;;595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;604;;596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;605;;597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;606;;598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;607;;599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;608;;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;609;;601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;610;;602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;611;;603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;612;;604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;613;;605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;614;;606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;615;;607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;616;;608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;617;;609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;618;;610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;toxisch sein, Toxizität (hier bin ich mir sicher);;;;;619;;611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;620;;612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;621;;613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;622;;614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;623;;615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;624;;616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;625;;617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;626;;618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;627;;619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;628;;620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;629;;621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;630;;622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;631;;623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;632;;624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;633;;625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;634;;626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;635;;627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;636;;628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;637;;629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;638;;630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
